#Data    ; Gap       ; Datasieving ; Buffer ; Performance
#Byte    ; Byte      ; on/off      ; MByte  ; MByte/s
131072   ; 4096      ; 0           ; 1      ; 93          
131072   ; 4096      ; 0           ; 1      ; 96          
131072   ; 4096      ; 0           ; 1      ; 94          
131072   ; 8192      ; 0           ; 1      ; 92          
131072   ; 8192      ; 0           ; 1      ; 88          
131072   ; 8192      ; 0           ; 1      ; 89          
131072   ; 8192      ; 0           ; 1      ; 92          
131072   ; 8192      ; 0           ; 1      ; 91          
131072   ; 16384     ; 0           ; 1      ; 86          
131072   ; 16384     ; 0           ; 1      ; 87          
131072   ; 16384     ; 0           ; 1      ; 83          
131072   ; 16384     ; 0           ; 1      ; 88          
131072   ; 16384     ; 0           ; 1      ; 87          
131072   ; 32768     ; 0           ; 1      ; 77          
131072   ; 32768     ; 0           ; 1      ; 79          
131072   ; 32768     ; 0           ; 1      ; 80          
